Latitud,Longitud,Tipo,Ruta,Estacion,Transporte
-12.179952,-77.009004,Alimentador,CIRCUITO DE PLAYAS (AS-10),Estacion Matellini,Metropolitano
-12.181622,-77.011971,Alimentador,CIRCUITO DE PLAYAS (AS-10),Matellini,Metropolitano
-12.175165,-77.018196,Alimentador,CIRCUITO DE PLAYAS (AS-10),Tottus,Metropolitano
-12.173267,-77.020081,Alimentador,CIRCUITO DE PLAYAS (AS-10),Teran,Metropolitano
-12.16984,-77.023315,Alimentador,CIRCUITO DE PLAYAS (AS-10),Uruguay,Metropolitano
-12.167434,-77.025635,Alimentador,CIRCUITO DE PLAYAS (AS-10),Olaya,Metropolitano
-12.156264,-77.025185,Alimentador,CIRCUITO DE PLAYAS (AS-10),Playa la Sombrilla,Metropolitano
-12.160334,-77.025604,Alimentador,CIRCUITO DE PLAYAS (AS-10),Playa Agua Dulce,Metropolitano
-12.16527,-77.027245,Alimentador,CIRCUITO DE PLAYAS (AS-10),Playa Pescador,Metropolitano
-12.167799,-77.037086,Alimentador,CIRCUITO DE PLAYAS (AS-10),Mirador la Herradura,Metropolitano
-12.173272,-77.033096,Alimentador,CIRCUITO DE PLAYAS (AS-10),Playa la Herradura,Metropolitano
-12.16954,-77.023781,Alimentador,CIRCUITO DE PLAYAS (AS-10),Uruguay,Metropolitano
-12.173011,-77.02047,Alimentador,CIRCUITO DE PLAYAS (AS-10),Teran,Metropolitano
-12.175452,-77.018143,Alimentador,CIRCUITO DE PLAYAS (AS-10),Tottus,Metropolitano
-12.181154,-77.01268,Alimentador,CIRCUITO DE PLAYAS (AS-10),Matellini,Metropolitano
NaN,NaN,Alimentador,CIRCUITO DE PLAYAS (AS-10),Estacion Matellini,Metropolitano
-12.058546,-77.036385,Alimentador,ESPECIAL GAMARRA (AC-01),Estacion Central,Metropolitano
-12.059197,-77.030647,Alimentador,ESPECIAL GAMARRA (AC-01),Abancay,Metropolitano
-12.058552,-77.025826,Alimentador,ESPECIAL GAMARRA (AC-01),Andahuaylas,Metropolitano
-12.058108,-77.021851,Alimentador,ESPECIAL GAMARRA (AC-01),Abtao,Metropolitano
-12.057606,-77.017998,Alimentador,ESPECIAL GAMARRA (AC-01),Huanuco,Metropolitano
-12.060692,-77.013329,Alimentador,ESPECIAL GAMARRA (AC-01),28 de Julio,Metropolitano
-12.065784,-77.012466,Alimentador,ESPECIAL GAMARRA (AC-01),Gamarra,Metropolitano
-12.061363,-77.012863,Alimentador,ESPECIAL GAMARRA (AC-01),28 de Julio,Metropolitano
-12.055465,-77.013626,Alimentador,ESPECIAL GAMARRA (AC-01),Grau,Metropolitano
-12.057627,-77.018982,Alimentador,ESPECIAL GAMARRA (AC-01),Parinacochas,Metropolitano
-12.058181,-77.023201,Alimentador,ESPECIAL GAMARRA (AC-01),Abtao,Metropolitano
-12.058466,-77.025658,Alimentador,ESPECIAL GAMARRA (AC-01),Andahuaylas,Metropolitano
-12.059094,-77.03067,Alimentador,ESPECIAL GAMARRA (AC-01),Abancay,Metropolitano
-12.058546,-77.036385,Alimentador,ESPECIAL GAMARRA (AC-01),Estacion Central,Metropolitano
