tarifa,fecha,tarjeta_id,ruleta_id
2.5,2019-04-30 05:00:08,182,62
2.5,2017-07-12 20:47:16,177,681
2.5,2016-11-02 09:01:59,287,853
2.5,2019-01-12 09:01:47,90,680
2.5,2019-01-09 08:52:36,127,675
2.5,2019-06-25 07:18:32,109,426
2.5,2019-01-29 23:50:40,111,418
2.5,2016-12-25 08:00:23,235,192
2.5,2016-07-11 18:12:08,38,739
2.5,2018-04-08 23:42:25,182,950
2.5,2019-07-31 18:13:34,138,1033
2.5,2018-07-19 15:42:22,256,808
2.5,2015-11-20 13:57:31,159,765
2.5,2017-09-01 22:24:28,295,241
2.5,2019-06-29 21:00:46,5,369
2.5,2019-02-10 07:20:54,86,249
2.5,2019-06-26 09:05:20,2,923
2.5,2018-10-31 23:30:51,102,862
2.5,2017-12-06 23:13:57,116,901
2.5,2015-11-01 20:28:34,194,212
2.5,2019-07-20 01:59:34,250,874
2.5,2016-03-18 18:50:41,90,204
2.5,2018-10-03 14:20:28,9,842
2.5,2016-03-14 12:05:15,287,807
2.5,2019-07-09 07:21:54,82,404
2.5,2018-01-24 06:46:41,119,327
2.5,2017-07-04 07:13:07,224,1035
2.5,2016-07-15 16:36:05,163,785
2.5,2015-12-16 00:39:06,117,928
2.5,2016-11-15 08:29:29,276,713
2.5,2018-12-14 14:37:44,242,150
2.5,2017-10-04 12:01:55,162,10
2.5,2019-09-06 13:20:46,142,776
2.5,2017-08-12 05:14:36,199,579
2.5,2019-06-16 05:34:39,281,386
2.5,2017-01-12 01:13:36,35,907
2.5,2016-07-05 14:09:02,59,971
2.5,2018-10-19 21:00:43,110,503
2.5,2016-03-31 23:41:49,127,303
2.5,2018-03-24 22:12:54,43,475
2.5,2017-03-01 04:39:58,106,158
2.5,2016-01-16 07:08:30,112,827
2.5,2018-03-17 21:43:40,35,570
2.5,2018-04-11 17:47:49,292,827
2.5,2016-02-12 07:34:33,46,247
2.5,2018-12-12 09:40:53,141,927
2.5,2016-08-12 16:56:09,290,197
2.5,2018-07-06 05:11:09,2,423
2.5,2018-09-16 03:47:44,115,769
2.5,2018-04-14 04:39:13,169,235
2.5,2016-06-07 13:37:07,135,717
2.5,2018-10-06 06:59:03,152,150
2.5,2017-08-06 06:45:21,71,451
2.5,2019-05-23 19:48:53,282,885
2.5,2019-06-06 17:26:43,1,591
2.5,2019-06-17 02:15:58,68,32
2.5,2017-02-26 01:55:32,51,340
2.5,2018-06-27 21:37:21,17,180
2.5,2018-10-06 15:41:21,263,645
2.5,2018-03-15 14:03:02,106,2
2.5,2019-08-23 03:24:45,2,134
2.5,2017-02-10 02:27:52,89,820
2.5,2016-11-15 10:21:21,178,951
2.5,2019-06-15 23:16:04,17,628
2.5,2017-09-20 09:20:18,127,976
2.5,2017-02-10 03:38:02,1,990
2.5,2018-01-22 02:54:26,48,65
2.5,2019-09-03 13:05:10,298,599
2.5,2016-05-04 17:44:27,90,577
2.5,2018-01-20 01:59:23,146,434
2.5,2018-09-14 07:45:47,20,938
2.5,2016-01-19 15:49:56,277,711
2.5,2017-02-06 18:28:14,108,203
2.5,2019-06-27 22:57:59,206,3
2.5,2017-06-11 17:02:03,220,967
2.5,2019-07-08 09:42:10,268,145
2.5,2019-11-14 10:13:24,185,864
2.5,2018-12-07 09:55:04,37,651
2.5,2018-10-04 06:43:54,135,591
2.5,2016-08-21 17:12:09,195,578
2.5,2017-08-19 01:04:41,206,967
2.5,2017-04-02 15:12:10,58,386
2.5,2017-01-18 08:41:24,185,294
2.5,2018-09-22 21:10:49,237,265
2.5,2017-05-31 06:26:08,275,168
2.5,2019-02-03 11:29:41,126,130
2.5,2017-03-29 09:15:15,57,227
2.5,2018-01-17 13:48:25,218,375
2.5,2018-08-12 09:55:16,273,835
2.5,2017-09-13 12:08:55,60,35
2.5,2016-04-17 17:35:34,92,798
2.5,2016-03-24 01:50:35,257,602
2.5,2019-05-27 15:03:29,163,993
2.5,2019-07-08 13:49:39,43,386
2.5,2016-03-20 10:43:25,212,986
2.5,2017-02-12 18:30:45,247,905
2.5,2017-05-20 00:10:24,48,61
2.5,2015-11-09 19:31:10,135,252
2.5,2015-11-22 12:05:52,138,465
2.5,2018-01-15 08:11:44,265,1012
2.5,2019-10-08 13:41:27,255,706
2.5,2018-01-05 02:11:07,53,134
2.5,2019-04-16 21:10:15,256,90
2.5,2018-10-03 02:35:39,104,814
2.5,2017-07-01 19:11:27,52,407
2.5,2017-03-22 17:08:33,64,784
2.5,2019-06-03 09:30:49,192,403
2.5,2016-08-08 15:52:56,159,674
2.5,2019-04-16 00:51:30,59,259
2.5,2018-02-17 18:25:46,186,796
2.5,2017-05-20 21:52:25,67,625
2.5,2016-01-24 15:47:11,196,352
2.5,2018-10-24 10:55:06,204,309
2.5,2016-03-26 17:33:25,144,413
2.5,2019-09-12 19:09:46,278,835
2.5,2019-09-01 10:55:13,181,695
2.5,2016-02-18 02:01:09,41,390
2.5,2016-05-18 16:02:18,140,815
2.5,2016-11-05 15:23:43,154,385
2.5,2018-11-13 10:03:32,101,631
2.5,2017-05-18 19:47:59,26,864
2.5,2016-03-14 11:49:21,261,530
2.5,2018-12-15 22:58:09,144,81
2.5,2017-04-17 16:40:11,55,795
2.5,2018-08-01 00:13:38,54,466
2.5,2018-08-22 04:25:47,112,901
2.5,2017-08-26 00:28:08,79,31
2.5,2017-07-26 02:15:43,66,681
2.5,2016-02-11 00:22:47,21,108
2.5,2016-11-07 00:03:19,230,439
2.5,2018-10-09 02:14:20,46,493
2.5,2016-08-07 15:54:36,130,998
2.5,2017-10-08 11:55:48,167,383
2.5,2017-12-15 19:37:21,16,663
2.5,2019-06-16 06:10:03,278,618
2.5,2017-07-07 02:56:41,116,303
2.5,2016-04-21 03:45:55,120,960
2.5,2017-12-20 16:32:04,276,15
2.5,2019-01-09 17:16:57,209,461
2.5,2016-11-08 00:16:38,193,863
2.5,2015-11-27 20:30:09,60,78
