fecha,salida,llegada,ruta_id,bus_id,empleado_id
2017-06-10,02:15:12,01:04:21,4,146,76
2017-11-12,17:00:55,14:36:48,14,157,6
2017-12-31,13:44:56,14:27:05,10,146,80
2019-06-20,06:49:54,13:40:37,6,116,11
2017-11-24,06:36:04,08:54:40,12,22,76
2019-02-03,06:41:22,13:11:29,14,182,51
2017-08-03,19:57:43,02:52:49,11,164,7
2019-07-06,10:52:13,13:22:10,12,7,49
2016-06-20,05:02:21,06:31:41,14,112,61
2019-03-15,07:32:01,22:09:48,2,38,33
2018-08-04,11:13:37,00:56:07,10,165,25
2016-04-25,19:20:12,16:05:10,4,157,73
2016-11-11,02:24:52,02:56:39,4,102,86
2016-12-02,06:50:22,08:32:12,1,186,44
2016-04-10,12:53:12,00:46:54,6,125,80
2019-03-30,15:18:37,09:54:27,9,34,29
2016-05-12,11:38:15,03:05:29,9,184,97
2019-07-17,21:18:35,07:39:28,1,170,53
2016-04-10,14:10:26,07:40:04,14,99,4
2019-03-05,02:36:25,04:00:12,3,63,53
2018-11-06,22:00:45,04:10:14,15,11,11
2017-10-02,05:50:05,08:13:51,8,60,38
2015-11-01,20:02:14,13:09:06,6,37,25
2016-09-22,15:13:08,16:35:07,10,32,18
2016-06-06,12:56:11,23:19:00,14,190,100
2018-02-27,07:15:03,11:40:18,12,171,1
2019-10-31,06:50:30,23:36:16,11,81,71
2019-10-15,18:28:24,07:04:29,10,17,28
2016-02-05,11:38:23,04:34:33,9,67,67
2018-07-21,04:56:02,15:51:51,12,3,71
2017-07-23,15:24:45,20:48:59,11,168,54
2019-02-13,08:00:34,09:35:57,8,2,52
2016-11-23,05:23:37,07:19:50,9,34,64
2019-10-05,12:33:51,20:37:06,5,98,60
2015-11-28,07:16:30,13:49:23,13,46,29
2015-12-30,10:39:40,19:21:11,13,75,65
2016-02-01,02:43:28,07:36:47,11,137,84
2019-06-02,16:50:20,19:35:08,13,162,69
2015-11-06,15:12:38,10:06:22,5,174,5
2019-08-27,16:29:21,21:45:05,14,31,60
2018-01-07,17:48:04,17:02:43,8,128,69
2017-06-27,20:17:17,23:10:18,9,99,56
2017-02-10,00:31:36,13:31:27,13,119,11
2019-06-18,01:47:45,12:44:34,2,186,53
2017-08-09,04:22:46,06:02:42,15,138,10
2018-09-22,07:52:31,10:21:25,12,74,6
2017-08-23,18:28:21,10:59:11,13,35,89
2018-07-21,08:46:14,20:14:28,10,12,86
2019-05-15,17:02:32,04:24:40,14,198,56
2017-02-16,06:18:31,00:33:34,1,11,78
2016-12-07,18:48:54,15:07:03,5,38,68
2018-07-05,12:38:12,22:06:26,8,4,77
2018-11-07,06:45:27,00:17:50,7,63,88
2016-02-06,23:29:55,15:55:00,1,114,10
2018-07-14,01:35:13,17:43:58,1,8,8
2017-02-22,21:10:42,07:25:49,6,182,85
2017-05-31,18:34:10,10:41:20,2,12,14
2018-08-09,10:17:08,06:41:21,8,60,92
2019-01-30,01:46:51,13:26:18,14,132,63
2019-09-04,00:20:07,07:54:34,9,72,91
2017-01-05,06:52:14,19:28:03,2,26,65
2018-04-10,01:06:36,00:34:46,4,106,96
2019-10-10,18:04:42,18:15:45,6,174,67
2019-10-06,23:04:35,03:51:34,7,109,27
2018-03-15,08:06:06,06:41:12,5,198,16
2017-05-07,14:18:34,14:30:09,12,128,7
2017-12-19,15:14:36,22:17:33,1,63,38
2017-06-27,20:44:13,22:47:15,3,44,32
2019-06-10,13:45:56,05:06:41,15,19,72
2017-06-19,20:50:09,04:15:12,11,129,33
2019-05-19,05:09:03,15:18:38,2,17,70
2017-09-30,02:41:02,22:00:59,2,29,94
2019-05-06,17:36:31,21:55:57,12,100,64
2018-03-20,16:53:40,23:59:51,7,13,5
2017-11-28,12:14:38,16:46:04,8,117,58
2015-11-21,09:45:40,08:44:02,11,7,43
2018-04-06,20:42:29,00:51:23,9,165,87
2017-12-24,10:39:51,06:17:35,11,91,56
2017-03-15,10:36:51,06:20:00,6,119,64
2016-12-23,05:19:37,08:49:56,12,73,28
2018-10-23,20:16:26,21:58:44,9,10,72
2018-01-31,07:51:07,18:22:56,2,182,42
2016-08-14,07:25:16,13:55:53,15,151,8
2017-08-08,07:25:39,01:23:42,3,102,34
2019-06-01,16:28:07,10:26:18,12,17,25
2017-12-09,11:54:22,06:20:54,3,142,19
2016-09-26,21:37:55,21:46:11,6,115,18
2016-01-02,04:28:06,06:45:00,3,120,28
2019-07-20,12:41:10,12:26:37,4,63,62
2019-03-30,18:37:03,15:27:18,1,21,65
2016-09-21,17:11:57,21:05:53,5,22,69
2018-04-07,15:55:25,19:08:06,6,22,30
2016-03-07,00:37:24,09:00:45,12,104,80
2019-05-07,03:50:47,18:57:37,2,96,77
2019-11-06,21:29:49,00:33:52,12,24,53
2017-09-13,02:08:27,16:25:39,8,116,42
2015-11-09,23:57:32,04:10:25,15,155,45
2016-03-26,04:18:23,22:39:36,1,9,53
2019-06-09,17:42:53,23:03:59,5,61,52
2019-01-07,21:35:51,07:15:34,11,79,76
2016-09-04,18:36:58,11:32:57,13,69,50
2016-01-25,06:35:34,11:37:24,15,25,79
2016-11-14,18:51:02,05:30:59,2,3,52
2017-02-07,02:56:02,17:43:10,5,32,79
2019-03-09,06:01:47,05:45:55,10,67,100
2018-06-02,17:46:26,07:57:00,12,107,75
2018-01-21,02:49:41,20:26:10,15,60,27
2017-03-17,15:10:21,06:29:11,6,76,82
2016-04-15,07:56:34,23:32:35,7,53,72
2019-04-23,07:41:56,18:36:40,1,71,33
2018-10-28,11:32:51,04:58:03,13,82,95
2018-10-19,12:54:42,22:03:08,7,160,12
2016-08-04,08:40:44,17:52:43,1,166,28
2019-10-21,16:25:04,08:20:16,6,133,11
2018-08-17,03:53:55,07:52:26,5,8,27
2016-08-19,13:37:30,06:51:09,6,114,24
2018-10-30,13:39:43,10:57:07,14,38,39
2018-10-13,10:04:58,01:22:45,3,83,67
2017-03-12,23:52:44,21:49:24,9,134,45
2017-02-24,15:14:29,05:31:02,3,9,2
2018-12-26,02:17:39,12:57:24,1,49,5
2018-04-25,01:35:38,03:08:13,4,77,10
2019-03-10,21:39:24,07:19:18,11,90,91
2017-03-23,17:10:58,11:22:39,10,57,22
2015-11-22,12:27:57,03:13:14,10,6,96
2016-06-27,19:45:20,20:41:48,2,35,34
2016-02-14,01:13:35,15:20:32,9,77,14
2018-07-22,16:28:45,10:03:07,4,102,47
2019-01-25,21:00:58,18:37:50,7,139,86
2016-01-30,20:20:42,06:57:14,12,174,57
2019-05-03,06:51:34,01:10:14,14,94,38
2018-04-06,18:43:12,01:23:14,15,42,38
2019-06-25,03:07:34,02:09:14,6,176,39
2018-01-17,16:39:50,01:22:13,5,40,95
2019-06-30,23:34:10,17:30:13,3,40,42
2017-09-29,19:56:57,21:03:39,13,65,13
2018-08-31,11:04:32,01:23:47,1,194,20
2018-03-03,06:47:23,21:09:11,1,196,93
2016-03-03,14:37:35,17:16:10,5,189,90
2017-08-11,10:41:39,02:03:51,1,175,94
2017-12-25,03:11:51,09:45:30,2,138,18
2018-03-19,01:11:47,02:21:04,4,180,80
2017-03-07,17:22:23,20:38:51,11,166,64
2018-05-03,12:57:35,17:54:31,3,8,25
2017-04-02,07:45:51,12:18:49,15,23,62
2018-10-04,09:53:12,15:38:09,2,79,39
2019-01-27,06:02:07,15:53:19,1,36,32
2018-03-08,05:23:40,04:12:02,14,29,54
2018-02-24,18:38:18,04:05:22,7,189,33
2016-02-24,10:20:44,00:11:03,14,166,99
2016-05-29,18:35:50,16:23:55,3,110,80
2019-04-20,00:45:54,11:09:51,9,97,87
2017-08-13,08:13:01,04:49:08,4,106,51
2019-01-03,19:03:49,13:08:44,14,26,62
2016-04-22,07:35:28,05:15:57,13,70,37
2019-02-23,12:04:26,03:54:53,15,80,64
2016-03-08,14:34:45,07:20:43,1,43,13
2018-03-13,07:38:08,14:54:11,9,114,63
2017-04-06,22:54:41,23:53:33,12,156,8
2018-08-01,10:28:02,19:27:44,4,4,70
2018-12-02,09:00:40,13:26:38,10,29,81
2018-04-10,21:11:39,15:52:31,2,23,82
2018-11-15,02:51:12,04:20:01,10,135,40
2017-11-05,19:44:36,06:03:27,8,81,58
2016-05-02,23:06:42,22:06:58,4,53,3
2015-11-26,03:53:04,14:07:11,10,143,76
2018-11-01,16:32:54,05:54:16,4,170,29
2016-09-07,18:14:30,09:50:08,2,170,61
2016-09-17,08:36:56,09:06:44,11,134,88
2016-01-26,09:45:41,01:58:05,12,58,94
2016-08-04,02:29:47,04:13:00,7,76,11
2018-06-15,07:03:20,17:15:08,3,155,9
2017-03-19,15:50:19,00:32:31,2,4,72
2018-03-21,00:15:18,08:27:10,15,95,2
2016-09-23,23:32:13,08:18:08,9,151,76
2016-06-14,17:45:05,17:24:34,1,175,34
2018-07-21,03:34:48,15:57:08,14,173,86
2017-04-29,10:23:14,09:29:29,2,128,12
2017-01-06,11:58:13,09:10:37,13,61,28
2018-07-24,00:35:04,01:57:24,3,20,75
2016-07-21,09:30:07,10:21:38,11,22,44
2018-04-20,05:11:46,11:35:21,5,166,4
2017-10-25,05:29:50,14:21:28,14,17,41
2019-05-16,21:44:29,06:49:30,2,68,39
2018-05-25,12:45:50,00:53:08,15,23,44
2016-04-13,03:57:15,23:21:52,4,99,16
2017-05-15,17:52:20,02:53:02,8,186,72
2016-08-29,14:01:25,22:33:56,2,153,23
2018-12-14,02:26:15,05:02:39,3,1,45
2017-04-09,18:18:37,17:17:57,14,153,37
2017-11-13,07:31:48,23:43:20,10,194,29
2017-11-21,14:52:55,00:04:23,5,59,80
